100 10000
0 0 0.0
0 1 3377.6
0 2 2141.6
0 3 5367.8
0 4 4967.7
0 5 1843.0
0 6 3524.3
0 7 1741.0
0 8 3373.0
0 9 373.7
0 10 4619.7
0 11 4323.9
0 12 2384.8
0 13 2691.7
0 14 2906.2
0 15 741.4
0 16 1808.7
0 17 1622.3
0 18 1001.0
0 19 5795.8
0 20 839.4
0 21 3439.4
0 22 3000.4
0 23 2226.5
0 24 2378.1
0 25 691.4
0 26 1739.7
0 27 2660.1
0 28 2477.4
0 29 3385.3
0 30 1774.6
0 31 2299.3
0 32 4983.2
0 33 1096.0
0 34 2013.2
0 35 4573.6
0 36 1817.1
0 37 2120.8
0 38 2898.6
0 39 3278.4
0 40 1496.0
0 41 1413.7
0 42 3881.3
0 43 4141.8
0 44 1799.4
0 45 1387.8
0 46 3281.7
0 47 4584.8
0 48 4551.5
0 49 3673.4
0 50 3532.2
0 51 2513.9
0 52 2348.1
0 53 2530.5
0 54 1828.4
0 55 1033.3
0 56 1975.0
0 57 3849.9
0 58 1824.2
0 59 4876.7
0 60 1962.7
0 61 2888.4
0 62 1969.6
0 63 2236.4
0 64 1333.6
0 65 2020.1
0 66 2922.5
0 67 3379.1
0 68 3480.6
0 69 2475.0
0 70 3394.4
0 71 3623.5
0 72 3413.4
0 73 2410.6
0 74 4999.7
0 75 2600.1
0 76 4883.2
0 77 2479.3
0 78 1706.3
0 79 622.1
0 80 2429.6
0 81 2248.9
0 82 298.0
0 83 3214.3
0 84 3304.0
0 85 4067.5
0 86 1904.6
0 87 3042.5
0 88 778.4
0 89 2345.9
0 90 1927.2
0 91 2644.4
0 92 2278.8
0 93 3011.5
0 94 2109.2
0 95 3389.9
0 96 2458.9
0 97 2734.8
0 98 1743.2
0 99 1998.5
1 0 3377.6
1 1 0.0
1 2 1844.8
1 3 5877.0
1 4 2343.9
1 5 2741.3
1 6 816.0
1 7 2755.8
1 8 2261.7
1 9 3349.5
1 10 5592.9
1 11 5557.7
1 12 3026.4
1 13 5191.1
1 14 4327.5
1 15 2661.5
1 16 3923.2
1 17 2230.7
1 18 3175.8
1 19 4042.9
1 20 3201.8
1 21 202.4
1 22 3973.5
1 23 4346.1
1 24 3799.4
1 25 2711.5
1 26 2009.5
1 27 3633.2
1 28 5104.8
1 29 4847.0
1 30 3629.9
1 31 4949.4
1 32 1605.6
1 33 3723.4
1 34 2222.1
1 35 5271.0
1 36 3672.3
1 37 1385.3
1 38 921.5
1 39 4251.5
1 40 2063.8
1 41 1977.5
1 42 2698.9
1 43 764.2
1 44 2078.9
1 45 2325.1
1 46 4701.5
1 47 3569.3
1 48 3535.9
1 49 6323.6
1 50 4505.3
1 51 1342.9
1 52 3255.3
1 53 3437.7
1 54 1859.3
1 55 3678.1
1 56 2873.3
1 57 5149.5
1 58 1811.4
1 59 1847.1
1 60 1925.1
1 61 861.2
1 62 3671.1
1 63 4356.0
1 64 3353.6
1 65 1717.1
1 66 3895.6
1 67 3484.0
1 68 3435.2
1 69 2668.8
1 70 3470.5
1 71 4230.1
1 72 4183.2
1 73 4530.2
1 74 1622.1
1 75 2929.3
1 76 3867.7
1 77 3386.6
1 78 2033.3
1 79 3517.6
1 80 5057.0
1 81 4876.3
1 82 3219.3
1 83 6000.1
1 84 73.6
1 85 1196.1
1 86 3608.7
1 87 4462.3
1 88 2624.6
1 89 4973.3
1 90 1815.0
1 91 1182.2
1 92 5227.7
1 93 3984.6
1 94 4759.3
1 95 4297.2
1 96 1361.2
1 97 3708.0
1 98 2438.9
1 99 2420.3
2 0 2141.6
2 1 1844.8
2 2 0.0
2 3 4740.3
2 4 4188.7
2 5 1140.7
2 6 1400.0
2 7 1155.2
2 8 1519.5
2 9 1774.9
2 10 3992.2
2 11 3957.1
2 12 2620.0
2 13 3590.5
2 14 2726.8
2 15 1829.5
2 16 2322.6
2 17 993.5
2 18 1575.2
2 19 4038.0
2 20 1601.2
2 21 1906.6
2 22 2372.9
2 23 2745.5
2 24 2198.7
2 25 1779.6
2 26 1681.2
2 27 2032.6
2 28 3504.1
2 29 3246.3
2 30 2029.2
2 31 3348.8
2 32 3450.4
2 33 2122.8
2 34 2227.5
2 35 4808.8
2 36 2071.6
2 37 621.7
2 38 929.3
2 39 2650.9
2 40 1265.9
2 41 1549.3
2 42 3307.1
2 43 2609.0
2 44 478.2
2 45 1602.2
2 46 3100.8
2 47 2827.0
2 48 2793.7
2 49 4723.0
2 50 2904.7
2 51 1951.1
2 52 2583.3
2 53 2765.7
2 54 1725.9
2 55 2077.5
2 56 1272.7
2 57 3548.9
2 58 1133.1
2 59 2988.0
2 60 670.8
2 61 1565.6
2 62 2070.4
2 63 2755.4
2 64 2421.7
2 65 2234.5
2 66 2295.0
2 67 3614.3
2 68 3715.9
2 69 2689.3
2 70 3629.6
2 71 3858.7
2 72 2582.6
2 73 2929.5
2 74 3466.9
2 75 2835.4
2 76 3125.4
2 77 2714.6
2 78 1920.6
2 79 1917.0
2 80 3456.4
2 81 3275.7
2 82 2082.9
2 83 4720.7
2 84 1771.2
2 85 1943.2
2 86 2008.1
2 87 2861.7
2 88 1866.5
2 89 3372.7
2 90 220.1
2 91 675.1
2 92 3627.1
2 93 2384.0
2 94 3158.7
2 95 3625.2
2 96 558.2
2 97 2107.3
2 98 838.2
2 99 819.7
3 0 5367.8
3 1 5877.0
3 2 4740.3
3 3 0.0
3 4 6654.9
3 5 3896.1
3 6 5144.8
3 7 3811.8
3 8 3626.8
3 9 5001.1
3 10 3004.6
3 11 3327.6
3 12 7022.1
3 13 4990.8
3 14 3615.0
3 15 5714.4
3 16 3775.4
3 17 5395.6
3 18 4522.4
3 19 4601.1
3 20 4684.0
3 21 5802.5
3 22 2367.4
3 23 4145.8
3 24 3208.5
3 25 5664.5
3 26 6083.3
3 27 2743.2
3 28 5308.9
3 29 4299.0
3 30 4093.2
3 31 5729.3
3 32 5856.2
3 33 4487.1
3 34 6629.5
3 35 9210.8
3 36 4046.3
3 37 5117.8
3 38 5229.2
3 39 2089.4
3 40 5667.9
3 41 5951.3
3 42 7760.0
3 43 6414.1
3 44 4400.7
3 45 6004.2
3 46 3660.3
3 47 3390.2
3 48 3356.8
3 49 7103.3
3 50 2275.2
3 51 6447.2
3 52 6985.3
3 53 7167.7
3 54 6127.9
3 55 4510.9
3 56 3764.1
3 57 2919.4
3 58 5535.1
3 59 4929.3
3 60 5128.4
3 61 6061.7
3 62 3574.5
3 63 4155.7
3 64 6306.6
3 65 6636.5
3 66 2681.6
3 67 8016.3
3 68 8117.9
3 69 7091.4
3 70 8031.7
3 71 8260.7
3 72 3318.6
3 73 4329.9
3 74 6230.0
3 75 7237.4
3 76 3688.6
3 77 7116.6
3 78 6322.6
3 79 4994.8
3 80 5033.9
3 81 5214.7
3 82 5309.1
3 83 7491.4
3 84 5803.4
3 85 5395.3
3 86 3720.2
3 87 3421.2
3 88 5751.4
3 89 4820.4
3 90 4525.9
3 91 5162.4
3 92 6007.6
3 93 2674.1
3 94 5539.1
3 95 8027.2
3 96 5089.8
3 97 2633.0
3 98 4126.2
3 99 4393.9
4 0 4967.7
4 1 2343.9
4 2 4188.7
4 3 6654.9
4 4 0.0
4 5 5085.2
4 6 3135.4
4 7 5099.7
4 8 4154.3
4 9 4939.6
4 10 7006.1
4 11 7048.9
4 12 4201.3
4 13 7535.0
4 14 6671.3
4 15 4243.0
4 16 6267.1
4 17 3993.1
4 18 5519.7
4 19 4354.2
4 20 5545.7
4 21 2477.8
4 22 6030.1
4 23 6690.0
4 24 6143.2
4 25 4292.9
4 26 3513.4
4 27 5977.1
4 28 7346.1
4 29 7190.8
4 30 5973.7
4 31 7168.0
4 32 868.5
4 33 5964.7
4 34 3662.8
4 35 4934.6
4 36 6016.1
4 37 3729.2
4 38 3265.4
4 39 5752.1
4 40 3676.8
4 41 3558.9
